video_id,contestant,question,options,correct_answer,contestant_answer,category,level,amount,joker_used,is_correct,eliminated
-hUVwDxK2G8,Contestant_001,Kuaförden dönen eşinin saçım nasıl olmuş sorusuna 10 numara beş yıldız şeklinde cevap veren biri Muhtemelen hangisini demek istemiş olur,"['A aşırı kötü olmuş', 'B hiç yakışmamış', 'C seni yaşlı göstermiş', 'D çok beğendim']",D,D,Genel Kültür,1,0.0,yok,True,False
-hUVwDxK2G8,Contestant_001,Hangisi sıcak kanlı kişiler için söylenir,"['A içe dönük', 'B Gözü Kara', 'C cana yakın', 'D Kulağı delik']",C,C,Genel Kültür,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_001,kullanılan hurçların içinde genellikle hangisi muhafaza edilir,"['A bijon anahtarı stepne kriko', 'B battaniye yorgan çarşaf', 'C dozer Jet biçer döver', 'D davul zurna kemence']",B,B,Genel Kültür,3,0.0,yok,True,False
-hUVwDxK2G8,Contestant_001,hangisi şiir türlerinden biri değildir,"['A koçaklama', 'B olumlama', 'C taşlama', 'D güzelleme']",B,B,Edebiyat,4,0.0,seyirci,True,False
-hUVwDxK2G8,Contestant_001,Marco Polo İbn battuta ve christof Kolomb'un anlatıldığı bir belgeselin konusu Muhtemelen hangisidir,"['A ünlü seyyahlar', 'B ünlü besteciler', 'C ünlü ressamlar', 'D ünlü yönetmenler']",A,A,Tarih,5,0.0,yarı_yarıya,True,False
-hUVwDxK2G8,Contestant_001,Dinlediğiniz gel yanıma adlı şarkıyı kim seslendirmektedir,"['A Burak Kut', 'B Faruk K', 'C Rober Hatemo', 'D Mansur Ark']",D,A,Müzik,6,0.0,yok,False,True
-hUVwDxK2G8,Contestant_002,rüzgarların yönünü ve adını gösteren levhaya ne ad verilir,"['A Rüzgar karanfili', 'B Rüzgar menekşesi', 'C Rüzgar lalesi', 'D rüzgar gülü']",D,D,Genel Kültür,1,0.0,yok,True,False
-hUVwDxK2G8,Contestant_002,Kuzu gibi nasıl kişileri tanımlarken kullanılan bir benzetmedir,"['A çok Uysal', 'B çok güçlü', 'C çok kurnaz', 'D çok dayanıklı']",A,A,Genel Kültür,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_002,hangi enstrümanın klavyesi olur,"['A darbuka', 'B org', 'C zurna', 'D kanun']",B,B,Müzik,3,0.0,yok,True,False
-hUVwDxK2G8,Contestant_002,"boyu 2 metreden 4 cm eksik olan biri boyu 1,5 metreden 5 cm fazla olan birinden kaç santim uzundur","['A 33', 'B 39', 'C 41', 'D 47']",C,C,Matematik,4,0.0,yok,True,False
-hUVwDxK2G8,Contestant_002,Türkiye'de Afacan ön adıyla yayınlanan çizgi filmdeki çocuk baş karakter kimdir,"['A Candy', 'B Haydi', 'C döniz', 'D Tusubasa']",C,C,Genel Kültür,5,0.0,seyirci,True,False
-hUVwDxK2G8,Contestant_002,yengeç kerevit ve karides için hangi ifade yanlıştır,"['A hayvandır l', 'B eklem bacaklıdır', 'C kabukludur', 'D çok ayaklılar şubesinden dirler']",D,D,Bilim,6,0.0,telefon,True,False
-hUVwDxK2G8,Contestant_002,Dinlediğiniz Jump in the line adlı şarkıyı Ajda pekkanla birlikte seslendiren grup hangisidir,"['A Yüksek Sadakat', 'B Pinhani', 'C Manga', 'D Kargo']",A,A,Müzik,7,0.0,yarı_yarıya,True,False
-hUVwDxK2G8,Contestant_002,İngilizcesi alca Fransızcası teman olan bitkinin Türkçe adı nedir,"['A Demir hindi', 'B aşk merdiveni', 'C deniz kestanesi', 'D Çoban tomarı']",A,A,Genel Kültür,8,0.0,çift_cevap,True,False
-hUVwDxK2G8,Contestant_002,müziğini kullanarak Ercan Saatçi'nin sözlerini yazdığı ve Ufuk Yıldırım'ın da aranjörlüğünü yaptığı bu baba başka Baba adlı şarkının bestecisi Mesam kayıtlarında nasıl yer almaktadır,"['A Müslüm gürsez', 'B don kion', 'C gat fadır', 'D Ercan saatç']",B,,Müzik,9,0.0,yok,False,True
-hUVwDxK2G8,Contestant_003,Yakın arkadaşı olan kişiyi biriyle tanıştıracak olan kişilerin tanısan dedikten sonra söylediği genellikle hangisi olur,"['A sen de utanırsın', 'B Sen de kaçarsın', 'C seversin', 'D sen de pişman olursun']",C,C,Genel Kültür,1,0.0,yok,True,False
